Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
Region I - Ilocos Region,1132,3453,4227,5145,2589,2694,7481,7224,0,0,14688,11109,0,0,111,85,1203,3266,2761,3514,450,638,7620,7738,0,0,11896,9752,16,1,104,76,Public,2018-2019,15429,18516,30228,29710,12034,15156,24050,24985
Region II - Cagayan Valley,812,2348,3299,3628,1849,1969,4701,5257,0,0,7642,5981,84,51,85,78,804,2100,1849,2072,65,101,4541,5107,0,0,6270,5510,77,32,65,47,Public,2018-2019,10661,13202,18472,19312,7259,9380,13671,14969
Region III - Central Luzon,3039,6827,5281,7228,3616,3185,9768,9338,75,7,21908,15208,136,61,57,57,2416,5665,3236,4974,702,633,8428,8761,35,13,18566,14253,112,56,54,54,Public,2018-2019,21779,26585,43880,41911,14817,20046,33549,34409
Region IV-A - CALABARZON,3791,8703,8154,10248,3412,3316,5713,6033,47,6,23319,16065,135,62,193,207,3303,7511,5655,7741,475,465,5913,6986,35,8,19531,13796,126,71,132,124,Public,2018-2019,21117,28306,44764,44640,15381,22711,35170,36702
Region IV-B - MIMAROPA,623,1629,2188,2806,1277,1308,5300,6290,0,0,7525,6379,89,47,95,105,469,1276,1136,1546,234,284,5007,6180,0,0,5664,5305,78,34,92,85,Public,2018-2019,9388,12033,17097,18564,6846,9286,12680,14710
Region V - Bicol Region,1292,3191,1795,3140,1708,1948,13341,18319,32,9,19140,15026,80,46,196,267,962,2654,1071,2040,117,149,11156,15366,0,0,15444,13672,80,46,210,201,Public,2018-2019,18168,26607,37584,41946,13306,20209,29040,34128
Region VI - Western Visayas,1479,4971,7227,10917,2312,2670,7451,7186,0,0,24751,17988,67,78,88,140,1130,3991,4564,7347,378,523,8623,9338,0,0,18744,15523,48,28,53,77,Public,2018-2019,18469,25744,43375,43950,14695,21199,33540,36827
Region VII - Central Visayas,1113,3026,3303,5706,1562,1846,10203,11820,26,5,19569,14921,83,66,86,124,867,2429,2175,3926,130,129,8562,10707,32,0,15782,13854,73,74,92,105,Public,2018-2019,16207,22403,35945,37514,11766,17191,27713,31224
Region VIII - Eastern Visayas,1064,2240,4523,6589,1326,1164,7654,9057,0,0,14470,11444,73,60,16,22,816,2006,3615,5144,520,379,6110,7876,0,0,11133,9508,19,19,46,21,Public,2018-2019,14567,19050,29126,30576,11061,15405,22259,24953
Region IX - Zamboanga Peninsula,531,1543,2410,4044,852,1177,1874,2450,0,0,10768,8993,28,44,51,62,404,1215,1235,2032,183,224,2738,4102,0,0,6575,5835,23,20,18,19,Public,2018-2019,5667,9214,16514,18313,4560,7573,11176,13447
Region X - Northern Mindanao,923,2539,3059,4472,879,1075,3861,5251,0,0,10876,7923,109,56,64,63,586,1922,1579,2644,671,918,3365,5005,0,0,8339,6408,60,41,48,71,Public,2018-2019,8722,13337,19771,21379,6201,10489,14648,17009
Region XI - Davao Region,528,1485,1922,3095,782,943,3666,5609,0,0,12524,10590,13,0,52,58,329,980,1017,1900,8,27,3265,4894,0,0,9100,8167,8,0,48,78,Public,2018-2019,6898,11132,19487,21780,4619,7801,13775,16046
Region XII - Soccsksargen,835,2155,5189,8083,1313,1531,2008,2571,0,0,12742,8892,98,41,97,135,570,1731,3551,5748,125,186,2064,3033,0,0,9068,6989,89,59,62,96,Public,2018-2019,9345,14340,22282,23408,6310,10698,15529,17842
CARAGA - CARAGA,568,1236,1623,2215,996,1317,3711,4785,0,0,8857,6087,43,18,40,34,475,990,1001,1463,106,118,3063,3978,0,0,7023,5398,26,4,15,28,Public,2018-2019,6898,9553,15838,15692,4645,6549,11709,11979
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,385,510,610,893,410,583,2887,4242,0,0,2601,2751,9,13,45,54,331,462,360,609,272,485,2208,3325,0,0,1960,2329,23,18,24,41,Public,2018-2019,4292,6228,6947,9046,3171,4881,5178,7269
CAR - Cordillera Administrative Region,290,724,1458,1818,598,722,1079,1260,0,0,2900,2243,29,23,24,20,251,627,725,1076,116,148,1168,1498,0,0,2316,2164,24,15,22,34,Public,2018-2019,3425,4524,6378,6810,2260,3349,4622,5562
NCR - National Capital Region,2460,4875,2409,3465,3265,2973,3478,3268,0,0,11819,7769,164,53,278,335,2159,4402,1610,2632,1783,1800,3173,3030,0,0,9687,6872,102,46,192,288,Public,2018-2019,11612,14581,23873,22738,8725,11864,18706,19070
Region I - Ilocos Region,959,3162,1884,2299,3402,3238,2076,1778,289,15,2933,2034,0,0,3,4,1130,3116,1078,1562,2888,2632,2116,2080,194,8,2672,1892,0,0,4,9,Private,2018-2019,8610,10492,11546,12530,7406,9398,10082,11299
Region II - Cagayan Valley,861,2210,1856,1955,2244,2606,1326,1250,202,8,947,635,9,5,7,12,846,2073,1339,1587,1878,2205,1578,1638,163,11,1094,828,6,3,20,12,Private,2018-2019,6489,8029,7452,8681,5804,7514,6924,8357
Region III - Central Luzon,6296,13514,6932,9352,10865,9323,6204,5759,350,16,14204,11062,80,33,128,133,5477,12608,4397,6512,9664,8199,5707,5655,440,18,13582,11242,6,7,127,93,Private,2018-2019,30647,37964,45059,49192,25685,32992,39400,44334
Region IV-A - CALABARZON,9583,21557,11355,14751,18222,15355,6819,5668,333,12,20357,16428,116,49,253,367,8813,19739,7363,10685,16614,12774,6504,6194,146,3,17679,14807,99,38,219,314,Private,2018-2019,46312,57343,67038,74187,39440,49395,57437,64554
